model,experiment,paradigm,system,distribution,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,train_acc,train_loss,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,avg_step_time_sec,total_samples,sync_events
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9014,0.9145,0.795,0.7494,0.5212,0.4754,0.7496330771706123,0.2320454530876371,0.0880788479999999,0.08807936,6778.0,271.12,394141.0,25.0
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.701,0.3887,0.0,0.0,0.9216800122275012,0.221211198357607,0.08807936,0.08807936,6226.63,249.0652,107805.0,25.0
tiny_bert,tinybert_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.2186,0.1755,0.1817131043252024,0.089592649432142,0.088077824,0.088077824,1182.03,47.2812,1416.0,25.0
tiny_bert,tinybert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.781,0.7782,0.6895,0.4733,0.0081,0.0063,0.6656490981321956,0.2074533776069489,0.088078848,0.08807936,6975.280000000001,279.01120000000003,143353.0,25.0
tiny_bert,tinybert_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.906,0.9122,0.0,0.0,0.0,0.0,0.9468086706680506,0.1853501808345627,0.08807936,0.08807936,2514.06,100.5624,66477.0,25.0
tiny_bert,tinybert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.7569,0.7902,0.6766,0.4475,0.3636,0.3505,0.558090370941385,0.4187948654027353,0.035645952,0.035646464,3560.68,142.4272,394141.0,25.0
mini-lm,minilm_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9369,0.9428,0.8966,0.8662,0.8384,0.8197,0.9453314089262412,0.0781543875328466,0.3834601813333333,0.384335872,27930.06,1117.2024,394141.0,25.0
mini-lm,minilm_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8888,0.8974,0.8629,0.815,0.7003,0.7061,0.8986135852687656,0.0910727149264262,0.3845961386666666,0.388000256,20765.57,830.6228,143353.0,25.0
mini-lm,minilm_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.8421,0.7644,0.0,0.0,0.9898263326365424,0.0490193014423923,0.3842048,0.385122304,14583.05,583.322,107805.0,25.0
mini-lm,minilm_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.7877,0.7489,0.9259460295536486,0.0107642934061128,0.3840244053333333,0.384592384,4920.48,196.8192,1400.0,25.0
mini-lm,minilm_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.9243,0.9293,0.0,0.0,0.0,0.0,0.9990823893978368,0.0054264631564586,0.383614976,0.383614976,8447.2,337.88800000000003,66477.0,25.0
mini-lm,minilm_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.7787,0.8102,0.7271,0.606,0.0703,0.0621,0.5281538628605552,0.3835880998611689,0.1089619626666666,0.10896384,18808.08,752.3232,394141.0,25.0
mini-bert,minibert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8234,0.8226,0.7748,0.6668,0.4009,0.3939,0.7906912813978877,0.1555099359524147,0.1968561493333333,0.196857344,10317.55,412.702,143353.0,25.0
mini-bert,minibert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.7649,0.7915,0.6958,0.5602,0.2824,0.2773,0.5276854360371264,0.4072173207411356,0.0629906773333333,0.062991872,4191.67,167.6668,394141.0,25.0
mini-bert,minibert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9266,0.9329,0.835,0.7981,0.694,0.655,0.8561206717030417,0.1634996162888755,0.1968561493333333,0.196857344,13341.009999999998,533.6403999999999,394141.0,25.0
mini-bert,minibert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.7674,0.6201,0.0,0.0,0.9511863440655548,0.1722212398417762,0.196857344,0.196857344,9642.59,385.7036,107805.0,25.0
mini-bert,minibert_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.6504,0.615,0.6860123599313392,0.040987765630797,0.19685376,0.19685376,2547.1000000000004,101.884,1416.0,25.0
mini-bert,minibert_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.9151,0.9196,0.0,0.0,0.0,0.0,0.9901620109210704,0.0431974637278959,0.196857344,0.196857344,4552.750000000001,182.11000000000004,66477.0,25.0
medium-bert,mediumbert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.7989,0.6852,0.0,0.0,0.9929044604751724,0.0362071679329307,0.6789056853333334,0.679604736,23880.890000000003,955.2356,107805.0,25.0
medium-bert,mediumbert_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.6521,0.6212,0.9184350806015944,0.012025250037564,0.6810825386666667,0.686150656,10261.92,410.4768,1416.0,25.0
medium-bert,mediumbert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8933,0.8988,0.8183,0.7441,0.4219,0.4132,0.8761370523886612,0.0869114097780172,0.6790196337777777,0.679604736,33374.5,1334.98,143353.0,25.0
medium-bert,mediumbert_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.93,0.9348,0.0,0.0,0.0,0.0,0.999864614829189,0.0007722045179087,0.67855616,0.67855616,15439.040000000005,617.5616000000001,66477.0,25.0
medium-bert,mediumbert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9392,0.945,0.8962,0.8655,0.8258,0.8052,0.9620264763302852,0.0343522233928423,0.680650752,0.684847616,45258.21,1810.3284,394141.0,25.0
medium-bert,mediumbert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.8131,0.8362,0.7388,0.6805,0.6823,0.6512,0.7133694386803467,0.3475268965823019,0.184010752,0.184013312,12885.74,515.4295999999999,394141.0,25.0
distil-bert,distilbert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.8408,0.7724,0.0,0.0,0.9988417876618052,0.0070169174409187,1.0956402346666667,1.09730048,34904.44,1396.1776,107805.0,25.0
