model,experiment,system,paradigm,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,total_samples
tiny_bert,tinybert_fl_mtl_iid_3clients,FL,Multi-task,False,0.9014,0.9145,0.795,0.7494,0.5212,0.4754,0.0880788479999999,0.08807936,6778.0,394141.0
tiny_bert,tinybert_centralized_single_stsb,Centralized,Single-task,False,0.0,0.0,0.0,0.0,0.7269762520492515,0.7230012598740546,0.3427261867201335,0.3427261867201335,2337.4206000000004,5749.0
tiny_bert,tinybert_centralized_single_sst2,Centralized,Single-task,False,0.8314220183486238,0.8357541899441341,0.0,0.0,0.0,0.0,0.3427341380503592,0.3427341380503592,4857.076364,67349.0
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,FL,Single-task,False,0.0,0.0,0.701,0.3887,0.0,0.0,0.08807936,0.08807936,6226.63,107805.0
tiny_bert,tinybert_fl_single_stsb_non-iid_3clients,FL,Single-task,False,0.0,0.0,0.0,0.0,0.2186,0.1755,0.088077824,0.088077824,1182.03,1416.0
tiny_bert,tinybert_centralized_mtl,Centralized,Multi-task,False,0.8211009174311926,0.8262806236080178,0.7230392156862745,0.8100840336134454,0.6474476771747455,0.6425823112091291,0.3440421318724937,0.3440421318724937,9227.549522,436944.0
tiny_bert,tinybert_fl_mtl_non-iid_9clients,FL,Multi-task,False,0.781,0.7782,0.6895,0.4733,0.0081,0.0063,0.088078848,0.08807936,6975.280000000001,143353.0
tiny_bert,tinybert_centralized_single_qqp,Centralized,Single-task,False,0.0,0.0,0.7156862745098039,0.8138801261829653,0.0,0.0,0.3427341380503592,0.3427341380503592,2315.386234,363846.0
tiny_bert,tinybert_fl_single_sst2_non-iid_3clients,FL,Single-task,False,0.906,0.9122,0.0,0.0,0.0,0.0,0.08807936,0.08807936,2514.06,66477.0
tiny_bert,tinybert_fl_mtl_lora_3clients,FL,Multi-task,True,0.7569,0.7902,0.6766,0.4475,0.3636,0.3505,0.035645952,0.035646464,3560.68,394141.0
mini-lm,minilm_centralized_single_stsb,Centralized,Single-task,False,0.0,0.0,0.0,0.0,0.8619868198603453,0.8592108928986084,1.492933811854988,1.492933811854988,2696.273322,5749.0
mini-lm,minilm_fl_mtl_iid_3clients,FL,Multi-task,False,0.9369,0.9428,0.8966,0.8662,0.8384,0.8197,0.3834601813333333,0.384335872,27930.06,394141.0
mini-lm,minilm_centralized_single_sst2,Centralized,Single-task,False,0.9013761467889908,0.9050772626931568,0.0,0.0,0.0,0.0,1.4949932063834552,1.4949932063834552,8334.104373,67349.0
mini-lm,minilm_fl_mtl_non-iid_9clients,FL,Multi-task,False,0.8888,0.8974,0.8629,0.815,0.7003,0.7061,0.3845961386666666,0.388000256,20765.57,143353.0
