model,experiment,paradigm,system,distribution,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,train_acc,train_loss,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,avg_step_time_sec,total_samples,sync_events
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9014,0.9145,0.795,0.7494,0.5212,0.4754,0.7496330771706123,0.2320454530876371,0.0880788479999999,0.08807936,6778.0,271.12,394141.0,25.0
tiny_bert,tinybert_centralized_mtl,Multi-task,Centralized,,False,0.8211009174311926,0.8262806236080178,0.7230392156862745,0.8100840336134454,0.6474476771747455,0.6425823112091291,0.8238204488908814,0.321167922614081,0.3440421318724937,0.3440421318724937,9227.549522,369.10198088,436944.0,0.0
tiny_bert,tinybert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.781,0.7782,0.6895,0.4733,0.0081,0.0063,0.6656490981321956,0.2074533776069489,0.088078848,0.08807936,6975.280000000001,279.01120000000003,143353.0,25.0
tiny_bert,tinybert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.7569,0.7902,0.6766,0.4475,0.3636,0.3505,0.558090370941385,0.4187948654027353,0.035645952,0.035646464,3560.68,142.4272,394141.0,25.0
mini-lm,minilm_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9369,0.9428,0.8966,0.8662,0.8384,0.8197,0.9453314089262412,0.0781543875328466,0.3834601813333333,0.384335872,27930.06,1117.2024,394141.0,25.0
mini-lm,minilm_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8888,0.8974,0.8629,0.815,0.7003,0.7061,0.8986135852687656,0.0910727149264262,0.3845961386666666,0.388000256,20765.57,830.6228,143353.0,25.0
mini-lm,minilm_centralized_mtl,Multi-task,Centralized,,False,0.8795871559633027,0.882943143812709,0.7916666666666666,0.8648648648648649,0.8579729233861991,0.8559583568490605,0.9742874789279264,0.0472721953293434,1.504463240682313,1.504463240682313,12437.119957,497.48479828,436944.0,0.0
mini-lm,minilm_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.7787,0.8102,0.7271,0.606,0.0703,0.0621,0.5281538628605552,0.3835880998611689,0.1089619626666666,0.10896384,18808.08,752.3232,394141.0,25.0
mini-bert,minibert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8234,0.8226,0.7748,0.6668,0.4009,0.3939,0.7906912813978877,0.1555099359524147,0.1968561493333333,0.196857344,10317.55,412.702,143353.0,25.0
mini-bert,minibert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.7649,0.7915,0.6958,0.5602,0.2824,0.2773,0.5276854360371264,0.4072173207411356,0.0629906773333333,0.062991872,4191.67,167.6668,394141.0,25.0
mini-bert,minibert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9266,0.9329,0.835,0.7981,0.694,0.655,0.8561206717030417,0.1634996162888755,0.1968561493333333,0.196857344,13341.009999999998,533.6403999999999,394141.0,25.0
mini-bert,minibert_centralized_mtl,Multi-task,Centralized,,False,0.8589449541284404,0.8649835345773875,0.7769607843137255,0.858034321372855,0.7989210335842442,0.7972817541302876,0.946361560342816,0.0928615218943916,2.4650807086774007,2.4650807086774007,3652.502049,146.10008196,436944.0,0.0
medium-bert,mediumbert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8933,0.8988,0.8183,0.7441,0.4219,0.4132,0.8761370523886612,0.0869114097780172,0.6790196337777777,0.679604736,33374.5,1334.98,143353.0,25.0
medium-bert,mediumbert_centralized_mtl,Multi-task,Centralized,,False,0.8864678899082569,0.8883977900552487,0.8333333333333334,0.8776978417266187,0.8615454825355658,0.8584116040914934,0.9887762878543582,0.0164788172893552,2.667126624615792,2.667126624615792,19257.400783,770.2960313199999,436944.0,0.0
medium-bert,mediumbert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9392,0.945,0.8962,0.8655,0.8258,0.8052,0.9620264763302852,0.0343522233928423,0.680650752,0.684847616,45258.21,1810.3284,394141.0,25.0
medium-bert,mediumbert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.8131,0.8362,0.7388,0.6805,0.6823,0.6512,0.7133694386803467,0.3475268965823019,0.184010752,0.184013312,12885.74,515.4295999999999,394141.0,25.0
distil-bert,distilbert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.8257,0.8433,0.7535,0.6754,0.5108,0.4919,0.6741997960394799,0.3186714280402837,0.285237248,0.285620736,21245.26,849.8104,394141.0,25.0
distil-bert,distilbert_centralized_mtl,Multi-task,Centralized,,False,0.9036697247706422,0.9076923076923076,0.8137254901960784,0.8778135048231511,0.8635447821041434,0.8614326862448632,0.9933874018493613,0.0090170236933693,4.321388951085961,4.321388951085961,24449.680308000003,977.98721232,436944.0,0.0
distil-bert,distilbert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.9232,0.9298,0.8579,0.8054,0.6963,0.6967,0.9351706036658216,0.0418475281062763,1.0969324657777777,1.104366592,52903.97,2116.1588,143353.0,25.0
distil-bert,distilbert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9461,0.9514,0.8913,0.861,0.8284,0.8136,0.9796415196367656,0.0156214411775607,1.0898691413333337,1.091521536,56454.46,2258.1784,394141.0,25.0
