model,experiment,paradigm,system,distribution,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,train_acc,train_loss,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,avg_step_time_sec,total_samples,sync_events
medium-bert,mediumbert_centralized_single_stsb,Single-task,Centralized,,False,0.0,0.0,0.0,0.0,0.867273563041981,0.8648429946451441,0.867273563041981,0.0323938410409957,2.646687730270523,2.646687730270523,3381.830675,135.273227,5749.0,0.0
medium-bert,mediumbert_centralized_single_sst2,Single-task,Centralized,,False,0.893348623853211,0.8970099667774086,0.0,0.0,0.0,0.0,0.893348623853211,0.0018855459454859,2.671146022044904,2.671146022044904,13492.619839,539.70479356,67349.0,0.0
medium-bert,mediumbert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.7989,0.6852,0.0,0.0,0.9929044604751724,0.0362071679329307,0.6789056853333334,0.679604736,23880.890000000003,955.2356,107805.0,25.0
medium-bert,mediumbert_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.6521,0.6212,0.9184350806015944,0.012025250037564,0.6810825386666667,0.686150656,10261.92,410.4768,1416.0,25.0
medium-bert,mediumbert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8933,0.8988,0.8183,0.7441,0.4219,0.4132,0.8761370523886612,0.0869114097780172,0.6790196337777777,0.679604736,33374.5,1334.98,143353.0,25.0
medium-bert,mediumbert_centralized_mtl,Multi-task,Centralized,,False,0.8864678899082569,0.8883977900552487,0.8333333333333334,0.8776978417266187,0.8615454825355658,0.8584116040914934,0.9887762878543582,0.0164788172893552,2.667126624615792,2.667126624615792,19257.400783,770.2960313199999,436944.0,0.0
medium-bert,mediumbert_centralized_single_qqp,Single-task,Centralized,,False,0.0,0.0,0.8357843137254902,0.8858603066439523,0.0,0.0,0.8357843137254902,0.0007711268502477,2.6467195355914264,2.6467195355914264,3205.513366,128.22053463999998,363846.0,0.0
medium-bert,mediumbert_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.93,0.9348,0.0,0.0,0.0,0.0,0.999864614829189,0.0007722045179087,0.67855616,0.67855616,15439.040000000005,617.5616000000001,66477.0,25.0
medium-bert,mediumbert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9392,0.945,0.8962,0.8655,0.8258,0.8052,0.9620264763302852,0.0343522233928423,0.680650752,0.684847616,45258.21,1810.3284,394141.0,25.0
medium-bert,mediumbert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.8131,0.8362,0.7388,0.6805,0.6823,0.6512,0.7133694386803467,0.3475268965823019,0.184010752,0.184013312,12885.74,515.4295999999999,394141.0,25.0
