model,experiment,paradigm,system,distribution,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,train_acc,train_loss,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,avg_step_time_sec,total_samples,sync_events
mini-bert,minibert_centralized_single_stsb,Single-task,Centralized,,False,0.0,0.0,0.0,0.0,0.8315636517704581,0.8283058502458666,0.8315636517704581,0.1314546779267265,2.448689295950763,2.448689295950763,411.4503820000001,16.45801528,5749.0,0.0
mini-bert,minibert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8234,0.8226,0.7748,0.6668,0.4009,0.3939,0.7906912813978877,0.1555099359524147,0.1968561493333333,0.196857344,10317.55,412.702,143353.0,25.0
mini-bert,minibert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.7649,0.7915,0.6958,0.5602,0.2824,0.2773,0.5276854360371264,0.4072173207411356,0.0629906773333333,0.062991872,4191.67,167.6668,394141.0,25.0
mini-bert,minibert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9266,0.9329,0.835,0.7981,0.694,0.655,0.8561206717030417,0.1634996162888755,0.1968561493333333,0.196857344,13341.009999999998,533.6403999999999,394141.0,25.0
mini-bert,minibert_centralized_single_sst2,Single-task,Centralized,,False,0.8727064220183486,0.8773072747014115,0.0,0.0,0.0,0.0,0.8727064220183486,0.0311564869970644,2.448740043358585,2.448740043358585,3348.261791,133.93047164,67349.0,0.0
mini-bert,minibert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.7674,0.6201,0.0,0.0,0.9511863440655548,0.1722212398417762,0.196857344,0.196857344,9642.59,385.7036,107805.0,25.0
mini-bert,minibert_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.6504,0.615,0.6860123599313392,0.040987765630797,0.19685376,0.19685376,2547.1000000000004,101.884,1416.0,25.0
mini-bert,minibert_centralized_mtl,Multi-task,Centralized,,False,0.8589449541284404,0.8649835345773875,0.7769607843137255,0.858034321372855,0.7989210335842442,0.7972817541302876,0.946361560342816,0.0928615218943916,2.4650807086774007,2.4650807086774007,3652.502049,146.10008196,436944.0,0.0
mini-bert,minibert_centralized_single_qqp,Single-task,Centralized,,False,0.0,0.0,0.7990196078431373,0.8535714285714285,0.0,0.0,0.7990196078431373,0.0157891306539974,2.448740043358585,2.448740043358585,318.60756000000003,12.744302400000002,363846.0,0.0
mini-bert,minibert_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.9151,0.9196,0.0,0.0,0.0,0.0,0.9901620109210704,0.0431974637278959,0.196857344,0.196857344,4552.750000000001,182.11000000000004,66477.0,25.0
