model,experiment,paradigm,system,distribution,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,train_acc,train_loss,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,avg_step_time_sec,total_samples,sync_events
mini-lm,minilm_centralized_single_stsb,Single-task,Centralized,,False,0.0,0.0,0.0,0.0,0.8619868198603453,0.8592108928986084,0.8619868198603453,0.0516490848153773,1.492933811854988,1.492933811854988,2696.273322,107.85093288,5749.0,0.0
mini-lm,minilm_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9369,0.9428,0.8966,0.8662,0.8384,0.8197,0.9453314089262412,0.0781543875328466,0.3834601813333333,0.384335872,27930.06,1117.2024,394141.0,25.0
mini-lm,minilm_centralized_single_sst2,Single-task,Centralized,,False,0.9013761467889908,0.9050772626931568,0.0,0.0,0.0,0.0,0.9013761467889908,0.0066081623169114,1.4949932063834552,1.4949932063834552,8334.104373,333.36417492,67349.0,0.0
mini-lm,minilm_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8888,0.8974,0.8629,0.815,0.7003,0.7061,0.8986135852687656,0.0910727149264262,0.3845961386666666,0.388000256,20765.57,830.6228,143353.0,25.0
mini-lm,minilm_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.8421,0.7644,0.0,0.0,0.9898263326365424,0.0490193014423923,0.3842048,0.385122304,14583.05,583.322,107805.0,25.0
mini-lm,minilm_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.7877,0.7489,0.9259460295536486,0.0107642934061128,0.3840244053333333,0.384592384,4920.48,196.8192,1400.0,25.0
mini-lm,minilm_centralized_mtl,Multi-task,Centralized,,False,0.8795871559633027,0.882943143812709,0.7916666666666666,0.8648648648648649,0.8579729233861991,0.8559583568490605,0.9742874789279264,0.0472721953293434,1.504463240682313,1.504463240682313,12437.119957,497.48479828,436944.0,0.0
mini-lm,minilm_centralized_single_qqp,Single-task,Centralized,,False,0.0,0.0,0.7990196078431373,0.8655737704918033,0.0,0.0,0.7990196078431373,0.004736694215248,1.5066975644757463,1.5066975644757463,2388.1281400000003,95.5251256,363846.0,0.0
mini-lm,minilm_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.9243,0.9293,0.0,0.0,0.0,0.0,0.9990823893978368,0.0054264631564586,0.383614976,0.383614976,8447.2,337.88800000000003,66477.0,25.0
mini-lm,minilm_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.7787,0.8102,0.7271,0.606,0.0703,0.0621,0.5281538628605552,0.3835880998611689,0.1089619626666666,0.10896384,18808.08,752.3232,394141.0,25.0
