model,experiment,paradigm,system,distribution,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,train_acc,train_loss,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,avg_step_time_sec,total_samples,sync_events
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9014,0.9145,0.795,0.7494,0.5212,0.4754,0.7496330771706123,0.2320454530876371,0.08807884799999999,0.08807936,6778.0,271.12,394141.0,25.0
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,N/A,False,0.0,0.0,0.0,0.0,0.7269762520492515,0.7230012598740546,0.7269762520492515,0.612272956996764,0.3427261867201335,0.3427261867201335,2337.4206000000004,93.49682400000002,5749.0,0.0
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,N/A,False,0.8314220183486238,0.8357541899441341,0.0,0.0,0.0,0.0,0.8314220183486238,0.1267106561933164,0.3427341380503592,0.3427341380503592,4857.076364,194.28305455999998,67349.0,0.0
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.701,0.3887,0.0,0.0,0.9216800122275012,0.22121119835760705,0.08807936,0.08807936,6226.63,249.0652,107805.0,25.0
tiny_bert,tinybert_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.2186,0.1755,0.18171310432520246,0.08959264943214207,0.08807782400000001,0.088077824,1182.03,47.2812,1416.0,25.0
tiny_bert,tinybert_centralized_mtl,Multi-task,Centralized,N/A,False,0.8211009174311926,0.8262806236080178,0.7230392156862745,0.8100840336134454,0.6474476771747455,0.6425823112091291,0.8238204488908814,0.32116792261408106,0.3440421318724937,0.3440421318724937,9227.549522000001,369.10198088000004,436944.0,0.0
tiny_bert,tinybert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.781,0.7782,0.6895,0.4733,0.0081,0.0063,0.6656490981321956,0.20745337760694899,0.088078848,0.08807936,6975.280000000001,279.01120000000003,143353.0,25.0
tiny_bert,tinybert_centralized_single_qqp,Single-task,Centralized,N/A,False,0.0,0.0,0.7156862745098039,0.8138801261829653,0.0,0.0,0.7156862745098039,0.1984575773114521,0.3427341380503592,0.3427341380503592,2315.386234,92.61544936,363846.0,0.0
tiny_bert,tinybert_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.906,0.9122,0.0,0.0,0.0,0.0,0.9468086706680506,0.1853501808345627,0.08807936,0.08807936,2514.06,100.5624,66477.0,25.0
tiny_bert,tinybert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.7569,0.7902,0.6766,0.4475,0.3636,0.3505,0.558090370941385,0.41879486540273536,0.035645952,0.035646464,3560.68,142.4272,394141.0,25.0
