model_name,experiment,paradigm,system,combined,distribution,is_lora,step,sst2_val_acc,sst2_val_f1,qqp_val_acc,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,train_acc,train_loss,time_step,gpu_mem_step
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,1,0.4748,0.5307,0.4202,0.4978,-0.0649,-0.0509,0.5386,0.0,273.33,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,2,0.7202,0.79,0.6476,0.6103,-0.0233,-0.0183,0.5858,0.0,271.4,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,3,0.7477,0.8113,0.7174,0.687,0.0533,0.0602,0.6531,0.0,271.01,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,4,0.8062,0.8471,0.7534,0.7112,0.3042,0.2962,0.6851,0.0,270.32,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,5,0.8326,0.8641,0.7461,0.7151,0.43,0.4009,0.701,0.0,271.65,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,6,0.8509,0.8767,0.7616,0.7226,0.4667,0.4334,0.714,0.0,270.18,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,7,0.8635,0.8852,0.7703,0.7244,0.4832,0.4484,0.7176,0.0,272.13,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,8,0.8761,0.8953,0.7714,0.7267,0.4904,0.452,0.7246,0.0,271.21,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,9,0.8842,0.9001,0.7701,0.7284,0.5184,0.4754,0.7346,0.0,270.58,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,10,0.8968,0.9096,0.7729,0.731,0.5163,0.4695,0.7378,0.0,270.36,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,11,0.8899,0.9046,0.7728,0.7331,0.5212,0.4713,0.7405,0.0,271.87,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,12,0.8991,0.9125,0.7783,0.7359,0.5173,0.4715,0.7414,0.0,270.42,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,13,0.8945,0.9089,0.7758,0.735,0.521,0.4725,0.7455,0.0,270.2,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,14,0.8956,0.9102,0.7776,0.7368,0.5206,0.4706,0.7443,0.0,270.97,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,15,0.9014,0.9145,0.7828,0.7398,0.5163,0.4721,0.7421,0.0,270.18,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,16,0.8991,0.9125,0.7814,0.7394,0.5164,0.4717,0.744,0.0,270.5,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,17,0.9002,0.9136,0.7809,0.7397,0.5175,0.4738,0.7571,0.0,270.09,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,18,0.8968,0.9109,0.7828,0.7411,0.5165,0.4726,0.7531,0.0,271.5,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,19,0.8911,0.9066,0.7868,0.7442,0.5182,0.4744,0.7468,0.0,270.58,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,20,0.8933,0.9084,0.786,0.7434,0.5139,0.4711,0.748,0.0,270.76,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,21,0.8968,0.9114,0.7889,0.7457,0.5171,0.4734,0.7528,0.0,272.7,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,22,0.8933,0.9087,0.7899,0.7465,0.5174,0.474,0.7451,0.0,271.2,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,23,0.8968,0.9111,0.7941,0.7488,0.5153,0.4739,0.755,0.0,272.41,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,24,0.8956,0.9102,0.7938,0.7488,0.5141,0.473,0.7464,0.0,270.28,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,25,0.8922,0.9078,0.795,0.7494,0.5134,0.4727,0.7494,0.0,272.17,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,26,0.8956,0.9103,0.7967,0.7503,0.515,0.4755,0.7534,0.0,271.21,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,27,0.8979,0.9121,0.7973,0.7507,0.5131,0.4736,0.7572,0.0,274.54,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,28,0.8933,0.9084,0.8012,0.7523,0.5126,0.4743,0.7547,0.0,274.2,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,29,0.8956,0.9102,0.8019,0.7529,0.513,0.4746,0.7491,0.0,274.11,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,30,0.8991,0.913,0.8019,0.7527,0.5127,0.4745,0.7504,0.0,272.72,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,31,0.8991,0.9129,0.8038,0.7532,0.5109,0.4738,0.7551,0.0,272.35,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,32,0.8991,0.9129,0.8055,0.7544,0.5092,0.4733,0.7547,0.0,274.78,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,33,0.9002,0.9138,0.8065,0.7546,0.5075,0.4726,0.7514,0.0,270.83,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,34,0.9002,0.9138,0.8069,0.7551,0.5055,0.4711,0.751,0.0,271.08,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,35,0.9002,0.9138,0.8075,0.7551,0.505,0.4713,0.7508,0.0,274.99,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,36,0.9002,0.9138,0.8092,0.7552,0.5049,0.4714,0.7522,0.0,271.02,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,37,0.9014,0.9147,0.8096,0.7549,0.5041,0.4711,0.7547,0.0,271.4,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,38,0.9014,0.9147,0.8114,0.7552,0.5031,0.4701,0.7533,0.0,271.05,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,39,0.9014,0.9145,0.8116,0.7538,0.5024,0.4698,0.7511,0.0,271.47,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,40,0.9002,0.9134,0.8115,0.7527,0.5007,0.469,0.7514,0.0,270.74,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,41,0.9014,0.9143,0.8115,0.751,0.4997,0.4684,0.7531,0.0,273.04,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,42,0.9014,0.9143,0.8116,0.7507,0.4982,0.4676,0.7504,0.0,270.65,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,43,0.9014,0.9143,0.8117,0.7491,0.497,0.4669,0.7538,0.0,269.66,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,44,0.9048,0.9171,0.8118,0.7478,0.4959,0.4665,0.7574,0.0,269.81,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,45,0.9048,0.9171,0.8122,0.7473,0.495,0.4659,0.7463,0.0,271.25,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,46,0.9083,0.9198,0.8125,0.7465,0.4944,0.4656,0.7517,0.0,273.36,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,47,0.9083,0.9198,0.8126,0.7455,0.4933,0.4648,0.7582,0.0,270.77,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,48,0.9083,0.9198,0.8121,0.7437,0.4921,0.4641,0.7507,0.0,272.35,0.08807884799999999
