epoch,training_time,train_loss,train_accuracy,sst2_val_accuracy,sst2_val_f1,qqp_val_accuracy,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,total_val_loss,gpu_usage,cpu_usage,memory_usage,timestamp
1,1007.160411,0.2793740038231794,0.8956422018348624,0.8956422018348624,0.8998899889988999,0.0,0.0,0.0,0.0,0.3634956204118805,4.246002389215707,8.6,44.3,2026-02-25 15:05:23
2,1189.928168,0.163200513476637,0.9002293577981652,0.9002293577981652,0.906148867313916,0.0,0.0,0.0,0.0,0.4147845282819583,4.246002389215707,17.9,44.8,2026-02-25 15:25:13
3,832.284652,0.1144246668402266,0.8979357798165137,0.8979357798165137,0.9029443838604144,0.0,0.0,0.0,0.0,0.5235354918616754,4.246002389215707,37.4,47.7,2026-02-25 15:39:06
4,1006.748136,0.0848271844851687,0.893348623853211,0.893348623853211,0.8958566629339306,0.0,0.0,0.0,0.0,0.504492785539446,4.246002389215707,35.0,49.5,2026-02-25 15:55:52
5,885.758348,0.0620370827393681,0.8944954128440367,0.8944954128440367,0.8995633187772926,0.0,0.0,0.0,0.0,0.6382726752968214,4.246002389215707,8.8,43.3,2026-02-25 16:10:38
6,485.372272,0.0503904635842632,0.8864678899082569,0.8864678899082569,0.8860759493670886,0.0,0.0,0.0,0.0,0.712071951287075,4.246002389215707,6.4,43.4,2026-02-25 16:18:43
7,792.434653,0.0388732865881051,0.8899082568807339,0.8899082568807339,0.8938053097345132,0.0,0.0,0.0,0.0,0.7604793121169069,4.246002389215707,11.1,47.2,2026-02-25 16:31:56
8,643.798777,0.0318647489607219,0.8910550458715596,0.8910550458715596,0.8906789413118527,0.0,0.0,0.0,0.0,0.6917378747006163,4.246002389215707,9.0,44.0,2026-02-25 16:42:40
9,610.228818,0.0243503322490614,0.8841743119266054,0.8841743119266054,0.8893756845564075,0.0,0.0,0.0,0.0,0.784961357420706,4.246002389215707,9.5,44.1,2026-02-25 16:52:50
10,884.121339,0.0191998628223597,0.8864678899082569,0.8864678899082569,0.8891377379619261,0.0,0.0,0.0,0.0,0.8584463379783961,4.246002389215707,25.1,42.7,2026-02-25 17:07:34
11,572.156014,0.01559888787245,0.8818807339449541,0.8818807339449541,0.886438809261301,0.0,0.0,0.0,0.0,0.8815263895698364,4.246002389215707,13.4,44.2,2026-02-25 17:17:06
12,736.410847,0.0127293993380728,0.8784403669724771,0.8784403669724771,0.8855291576673866,0.0,0.0,0.0,0.0,0.9885881391798708,4.246002389215707,6.7,43.5,2026-02-25 17:29:23
13,741.291662,0.0112969785649893,0.8864678899082569,0.8864678899082569,0.8918032786885246,0.0,0.0,0.0,0.0,0.9189761861657602,4.246002389215707,6.1,44.2,2026-02-25 17:41:44
14,518.531774,0.0087080276941238,0.8887614678899083,0.8887614678899083,0.8881199538638985,0.0,0.0,0.0,0.0,0.951254088894346,4.246002389215707,6.3,44.2,2026-02-25 17:50:22
15,816.014016,0.0064326254413885,0.8910550458715596,0.8910550458715596,0.8964013086150491,0.0,0.0,0.0,0.0,1.053824919948653,4.246002389215707,6.1,43.5,2026-02-25 18:03:59
16,621.200554,0.0057099974754976,0.8818807339449541,0.8818807339449541,0.8849162011173184,0.0,0.0,0.0,0.0,1.011171201658113,4.246002389215707,6.1,44.2,2026-02-25 18:14:20
17,659.409161,0.0046702190301338,0.8841743119266054,0.8841743119266054,0.8886438809261301,0.0,0.0,0.0,0.0,1.0740228513937198,4.246002389215707,6.1,43.6,2026-02-25 18:25:19
18,817.657024,0.0036583057378348,0.8830275229357798,0.8830275229357798,0.8898488120950324,0.0,0.0,0.0,0.0,1.0955517507353627,4.246002389215707,6.1,44.2,2026-02-25 18:38:57
19,518.077356,0.0025515991600937,0.8876146788990825,0.8876146788990825,0.8941684665226782,0.0,0.0,0.0,0.0,1.1464903536646722,4.246002389215707,6.3,44.2,2026-02-25 18:47:35
20,764.396133,0.0018702349401113,0.8864678899082569,0.8864678899082569,0.8943436499466382,0.0,0.0,0.0,0.0,1.208880856104893,4.246002389215707,6.0,43.4,2026-02-25 19:00:19
21,675.070444,0.0019094654455241,0.8876146788990825,0.8876146788990825,0.8937093275488069,0.0,0.0,0.0,0.0,1.1234883770627089,4.246002389215707,5.9,44.2,2026-02-25 19:11:34
22,576.438844,0.0007253968420415,0.893348623853211,0.893348623853211,0.8972375690607735,0.0,0.0,0.0,0.0,1.200130653377268,4.246002389215707,6.2,43.9,2026-02-25 19:21:11
23,866.7534,0.0008524102552106,0.8922018348623854,0.8922018348623854,0.8971553610503282,0.0,0.0,0.0,0.0,1.2252581401148734,4.246002389215707,5.8,44.2,2026-02-25 19:35:38
24,588.135159,0.0005704508668286,0.8944954128440367,0.8944954128440367,0.8995633187772926,0.0,0.0,0.0,0.0,1.2207191852059618,4.246002389215707,5.9,44.2,2026-02-25 19:45:26
25,705.442726,0.0003919704917823,0.893348623853211,0.893348623853211,0.8976897689768977,0.0,0.0,0.0,0.0,1.215869724760081,4.246002389215707,6.9,44.9,2026-02-25 19:57:11
