round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,9,0.7405,0.9292,0.363,9,9,2141.99,1,1,0.4553,0.1472,0.6203,0.044,0.0383,0.0363,2026-02-17 22:49:35
2,9,0.835,0.9395,0.6262,9,9,2138.47,2,2,0.7443,0.7277,0.6322,0.0028,0.319,0.3136,2026-02-17 23:25:13
3,9,0.8689,0.9454,0.7161,9,9,2104.17,3,3,0.7924,0.7735,0.6498,0.1046,0.5333,0.5376,2026-02-18 00:00:17
4,9,0.8826,0.9519,0.7441,9,9,2109.58,4,4,0.8647,0.8665,0.7448,0.5193,0.6475,0.6516,2026-02-18 00:35:27
5,9,0.8927,0.9563,0.7654,9,9,2098.01,5,5,0.8819,0.8849,0.7938,0.6643,0.6834,0.6847,2026-02-18 01:10:25
6,9,0.9042,0.9605,0.7916,9,9,2107.43,6,6,0.9002,0.9061,0.8213,0.7323,0.6862,0.687,2026-02-18 01:45:32
7,9,0.9054,0.9647,0.7868,9,9,2112.49,7,7,0.906,0.9116,0.8347,0.7604,0.6963,0.6967,2026-02-18 02:20:45
8,9,0.9145,0.9686,0.8062,9,9,2107.86,8,8,0.906,0.913,0.8442,0.7832,0.6921,0.6932,2026-02-18 02:55:53
9,9,0.9199,0.9714,0.8169,9,9,2111.93,9,9,0.9151,0.9208,0.8487,0.7893,0.6912,0.6939,2026-02-18 03:31:05
10,9,0.9175,0.9734,0.8058,9,9,2109.12,10,10,0.9128,0.919,0.8505,0.792,0.682,0.6864,2026-02-18 04:06:14
11,9,0.9216,0.9756,0.8135,9,9,2099.84,11,11,0.9197,0.9262,0.854,0.8005,0.6761,0.6813,2026-02-18 04:41:13
12,9,0.9222,0.9779,0.8109,9,9,2103.56,12,12,0.914,0.9203,0.8545,0.7987,0.6722,0.6783,2026-02-18 05:16:17
13,9,0.9312,0.9795,0.8345,9,9,2101.92,13,13,0.914,0.92,0.8553,0.7998,0.6674,0.6744,2026-02-18 05:51:19
14,9,0.9259,0.9811,0.8156,9,9,2114.35,14,14,0.9128,0.9186,0.8571,0.8046,0.6677,0.6746,2026-02-18 06:26:33
15,9,0.928,0.9825,0.819,9,9,2103.32,15,15,0.9117,0.918,0.8576,0.8054,0.6577,0.665,2026-02-18 07:01:37
16,9,0.9352,0.9832,0.8392,9,9,2106.99,16,16,0.9151,0.9214,0.8562,0.8006,0.6478,0.6565,2026-02-18 07:36:44
17,9,0.9311,0.9842,0.8249,9,9,2102.4,17,17,0.9151,0.9214,0.8579,0.8041,0.6428,0.6506,2026-02-18 08:11:46
18,9,0.9345,0.985,0.8335,9,9,2110.07,18,18,0.914,0.9205,0.8577,0.8047,0.6474,0.6547,2026-02-18 08:46:56
19,9,0.9335,0.9859,0.8286,9,9,2119.55,19,19,0.922,0.9287,0.8573,0.8031,0.6382,0.6457,2026-02-18 09:22:16
20,9,0.9362,0.9864,0.836,9,9,2112.78,20,20,0.9197,0.9265,0.8577,0.8027,0.6354,0.6434,2026-02-18 09:57:28
21,9,0.9374,0.9868,0.8387,9,9,2173.51,21,21,0.9197,0.9265,0.8575,0.8016,0.6279,0.6366,2026-02-18 10:33:42
22,9,0.9364,0.987,0.8353,9,9,2178.28,22,22,0.9209,0.9277,0.8576,0.8009,0.628,0.637,2026-02-18 11:10:00
23,9,0.941,0.9883,0.8466,9,9,2108.59,23,23,0.9197,0.9265,0.8576,0.8006,0.6254,0.6344,2026-02-18 11:45:09
24,9,0.9338,0.9885,0.8244,9,9,2111.28,24,24,0.9232,0.9298,0.8555,0.7956,0.6199,0.6294,2026-02-18 12:20:20
25,9,0.9352,0.9883,0.8289,9,9,2116.48,25,25,0.9232,0.9298,0.8537,0.7903,0.6133,0.6231,2026-02-18 12:55:37
