round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.4702,0.7053,0.0,3,3,775.29,1,1,0.4335,0.008,0.6316,0.0,-0.0872,-0.1128,2026-02-10 15:14:44
2,3,0.5557,0.7602,0.1467,3,3,845.32,2,2,0.7901,0.819,0.719,0.589,0.1051,0.0858,2026-02-10 15:28:49
3,3,0.5921,0.7701,0.236,3,3,834.23,3,3,0.789,0.8185,0.7314,0.6236,0.2508,0.2449,2026-02-10 15:42:43
4,3,0.6154,0.7747,0.2968,3,3,847.9,4,4,0.7936,0.82,0.7374,0.6386,0.3329,0.3248,2026-02-10 15:56:51
5,3,0.6285,0.7779,0.3297,3,3,851.61,5,5,0.8005,0.8232,0.7414,0.6506,0.3786,0.3691,2026-02-10 16:11:03
6,3,0.6391,0.7787,0.3599,3,3,783.9,6,6,0.8028,0.8248,0.744,0.6551,0.4075,0.3951,2026-02-10 16:24:07
7,3,0.6492,0.7804,0.3868,3,3,787.57,7,7,0.8085,0.8294,0.7456,0.6492,0.4295,0.4155,2026-02-10 16:37:14
8,3,0.6537,0.7817,0.3977,3,3,864.08,8,8,0.8131,0.8335,0.7467,0.6569,0.4454,0.431,2026-02-10 16:51:38
9,3,0.6562,0.7828,0.403,3,3,816.42,9,9,0.8177,0.8366,0.748,0.6652,0.4555,0.4397,2026-02-10 17:05:15
10,3,0.6578,0.7825,0.4083,3,3,807.88,10,10,0.8188,0.8371,0.749,0.6637,0.4658,0.4501,2026-02-10 17:18:43
11,3,0.6598,0.7835,0.4123,3,3,802.14,11,11,0.8188,0.8368,0.7497,0.6609,0.4731,0.456,2026-02-10 17:32:05
12,3,0.6591,0.7843,0.4089,3,3,813.41,12,12,0.8234,0.8412,0.7504,0.666,0.4793,0.4629,2026-02-10 17:45:38
13,3,0.6717,0.7843,0.4466,3,3,924.4,13,13,0.8234,0.8402,0.7511,0.664,0.4849,0.4685,2026-02-10 18:01:03
14,3,0.671,0.7845,0.4439,3,3,875.82,14,14,0.8257,0.843,0.7514,0.6683,0.4889,0.4719,2026-02-10 18:15:39
15,3,0.6689,0.7858,0.4353,3,3,930.13,15,15,0.8245,0.8418,0.7518,0.6716,0.4928,0.4756,2026-02-10 18:31:09
16,3,0.6695,0.7852,0.4382,3,3,939.37,16,16,0.8245,0.8415,0.752,0.6707,0.496,0.4786,2026-02-10 18:46:48
17,3,0.6734,0.7856,0.449,3,3,878.1,17,17,0.8245,0.8421,0.7527,0.6754,0.4985,0.4805,2026-02-10 19:01:26
18,3,0.6719,0.7861,0.4434,3,3,910.84,18,18,0.8245,0.8415,0.7525,0.6696,0.5005,0.4819,2026-02-10 19:16:37
19,3,0.677,0.7858,0.4593,3,3,914.46,19,19,0.8257,0.843,0.7524,0.6692,0.5022,0.4828,2026-02-10 19:31:51
20,3,0.6753,0.7866,0.4529,3,3,872.11,20,20,0.8257,0.843,0.7525,0.6694,0.504,0.4846,2026-02-10 19:46:24
21,3,0.6746,0.7855,0.4529,3,3,880.65,21,21,0.8245,0.8415,0.7531,0.6686,0.5058,0.4864,2026-02-10 20:01:04
22,3,0.6782,0.7861,0.4624,3,3,820.63,22,22,0.8245,0.8415,0.7528,0.671,0.5074,0.4882,2026-02-10 20:14:45
23,3,0.6784,0.7868,0.4616,3,3,814.14,23,23,0.8245,0.8415,0.7532,0.6701,0.5085,0.4896,2026-02-10 20:28:19
24,3,0.6819,0.7871,0.4715,3,3,830.27,24,24,0.8257,0.843,0.7534,0.6708,0.5098,0.491,2026-02-10 20:42:09
25,3,0.6742,0.7856,0.4514,3,3,824.59,25,25,0.8257,0.8433,0.7535,0.6709,0.5108,0.4919,2026-02-10 20:55:54
