epoch,train_loss,train_accuracy,timestamp
1,1.3335894088828026,0.1395,2026-02-25 23:38:48
2,0.7038375399306529,0.4387,2026-02-25 23:55:16
3,0.5552317675035027,0.6382,2026-02-26 00:12:11
4,0.4425999010016763,0.7086,2026-02-26 00:26:32
5,0.3626052197960371,0.7458,2026-02-26 00:40:38
6,0.277543250758453,0.8146,2026-02-26 00:54:13
7,0.2475973717287126,0.8365,2026-02-26 01:07:45
8,0.2208283117139025,0.8453,2026-02-26 01:21:45
9,0.1934988455161105,0.8708,2026-02-26 01:35:22
10,0.1667194185179791,0.877,2026-02-26 01:49:03
11,0.1519280173859552,0.8982,2026-02-26 02:02:49
12,0.1368486614166093,0.8964,2026-02-26 02:16:29
13,0.1269216490821927,0.9128,2026-02-26 02:30:38
14,0.1105726332879884,0.9196,2026-02-26 02:44:04
15,0.1039836286371083,0.9224,2026-02-26 02:57:44
16,0.0938520828661109,0.9325,2026-02-26 03:11:11
17,0.0860511147595689,0.9412,2026-02-26 03:21:24
18,0.0777892211847763,0.944,2026-02-26 03:31:53
19,0.0707154806512513,0.9468,2026-02-26 03:41:57
20,0.0660916473063302,0.9539,2026-02-26 03:52:05
21,0.0605831579187065,0.954,2026-02-26 04:02:16
22,0.058031745847136,0.9554,2026-02-26 04:12:24
23,0.0517427866194831,0.9639,2026-02-26 04:22:25
24,0.0482443456758598,0.9644,2026-02-26 04:32:34
25,0.0449676336462371,0.9674,2026-02-26 04:42:46
