round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.7824,0.8694,0.6084,3,3,1820.19,1,1,0.4897,0.3101,0.6244,0.0596,-0.061,-0.0619,2026-02-02 21:03:31
2,3,0.8569,0.8964,0.7778,3,3,1835.44,2,2,0.7523,0.7188,0.7788,0.7609,0.4448,0.4442,2026-02-02 21:34:07
3,3,0.8787,0.9132,0.8096,3,3,1815.34,3,3,0.867,0.87,0.8273,0.8039,0.725,0.7195,2026-02-02 22:04:22
4,3,0.8936,0.9254,0.8302,3,3,1825.66,4,4,0.8761,0.8795,0.854,0.8274,0.787,0.7714,2026-02-02 22:34:48
5,3,0.9064,0.9352,0.8487,3,3,1811.39,5,5,0.9128,0.9185,0.868,0.8404,0.7915,0.773,2026-02-02 23:04:59
6,3,0.9158,0.9438,0.8599,3,3,1807.86,6,6,0.9163,0.9218,0.8724,0.8444,0.7891,0.7723,2026-02-02 23:35:07
7,3,0.922,0.9508,0.8643,3,3,1807.27,7,7,0.8991,0.9035,0.8743,0.8461,0.8058,0.7852,2026-02-03 00:05:14
8,3,0.929,0.9572,0.8724,3,3,1807.84,8,8,0.914,0.9191,0.8729,0.8453,0.819,0.7917,2026-02-03 00:35:22
9,3,0.9337,0.9623,0.8764,3,3,1806.4,9,9,0.9232,0.9288,0.8869,0.8578,0.8041,0.7861,2026-02-03 01:05:29
10,3,0.9388,0.9663,0.8837,3,3,1806.95,10,10,0.9278,0.933,0.8872,0.8578,0.8077,0.7916,2026-02-03 01:35:35
11,3,0.9447,0.9709,0.8922,3,3,1807.37,11,11,0.9255,0.9309,0.8833,0.855,0.8258,0.8052,2026-02-03 02:05:43
12,3,0.9472,0.9746,0.8925,3,3,1805.91,12,12,0.9312,0.9366,0.8858,0.8572,0.8197,0.7991,2026-02-03 02:35:49
13,3,0.9489,0.977,0.8927,3,3,1806.8,13,13,0.9266,0.9321,0.8901,0.8607,0.8085,0.7912,2026-02-03 03:05:56
14,3,0.9506,0.979,0.8939,3,3,1806.65,14,14,0.9289,0.9346,0.892,0.8622,0.8019,0.7861,2026-02-03 03:36:02
15,3,0.9545,0.9815,0.9005,3,3,1806.47,15,15,0.9335,0.9393,0.8898,0.8607,0.8174,0.7965,2026-02-03 04:06:09
16,3,0.9546,0.9833,0.8973,3,3,1807.25,16,16,0.9323,0.938,0.8899,0.8607,0.8165,0.796,2026-02-03 04:36:16
17,3,0.9566,0.9845,0.9007,3,3,1807.11,17,17,0.9312,0.9368,0.8949,0.8649,0.8127,0.7957,2026-02-03 05:06:23
18,3,0.9568,0.9856,0.8992,3,3,1807.46,18,18,0.93,0.9359,0.8943,0.8641,0.8071,0.7891,2026-02-03 05:36:30
19,3,0.9578,0.9868,0.8999,3,3,1806.46,19,19,0.9335,0.9389,0.893,0.8628,0.8107,0.7915,2026-02-03 06:06:37
20,3,0.9589,0.9879,0.901,3,3,1805.89,20,20,0.9346,0.9403,0.8954,0.8639,0.8095,0.7935,2026-02-03 06:36:43
21,3,0.9593,0.989,0.8999,3,3,1806.75,21,21,0.9369,0.9426,0.8938,0.8627,0.8106,0.7911,2026-02-03 07:06:50
22,3,0.9607,0.9895,0.9029,3,3,1818.11,22,22,0.9392,0.945,0.8962,0.8655,0.8174,0.7956,2026-02-03 07:37:08
23,3,0.9611,0.9902,0.903,3,3,1811.08,23,23,0.9381,0.9439,0.8951,0.8634,0.8056,0.7854,2026-02-03 08:07:19
24,3,0.9605,0.9906,0.9002,3,3,1805.3,24,24,0.9369,0.9429,0.8955,0.8644,0.806,0.786,2026-02-03 08:37:24
25,3,0.962,0.9911,0.9039,3,3,1805.26,25,25,0.9369,0.9429,0.8951,0.8641,0.8094,0.7876,2026-02-03 09:07:29
