round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,9,0.6949,0.9152,0.2543,9,9,1463.72,1,1,0.4725,0.5701,0.3862,0.5307,0.0043,-0.0009,2026-02-18 16:17:18
2,9,0.7713,0.9231,0.4677,9,9,1404.85,2,2,0.6789,0.6392,0.6345,0.0231,0.1195,0.1101,2026-02-18 16:40:43
3,9,0.815,0.9296,0.5859,9,9,1395.02,3,3,0.6548,0.5554,0.6318,0.0005,0.2612,0.2559,2026-02-18 17:03:58
4,9,0.8223,0.9338,0.5992,9,9,1326.59,4,4,0.7638,0.7359,0.6334,0.0099,0.3412,0.3364,2026-02-18 17:26:05
5,9,0.8346,0.9383,0.627,9,9,1319.06,5,5,0.8154,0.8048,0.668,0.197,0.3968,0.3908,2026-02-18 17:48:04
6,9,0.8481,0.9425,0.6594,9,9,1324.2,6,6,0.8601,0.8623,0.7265,0.457,0.4102,0.4011,2026-02-18 18:10:08
7,9,0.8573,0.946,0.6798,9,9,1317.16,7,7,0.8761,0.8816,0.7644,0.5925,0.4089,0.4016,2026-02-18 18:32:05
8,9,0.8617,0.9487,0.6878,9,9,1316.16,8,8,0.8727,0.8773,0.7691,0.6038,0.4219,0.4132,2026-02-18 18:54:02
9,9,0.8601,0.9519,0.6764,9,9,1329.69,9,9,0.8716,0.8753,0.7796,0.6348,0.3954,0.3936,2026-02-18 19:16:11
10,9,0.8652,0.9537,0.688,9,9,1325.68,10,10,0.8716,0.8761,0.7868,0.652,0.3974,0.3974,2026-02-18 19:38:17
11,9,0.8707,0.9562,0.6996,9,9,1318.08,11,11,0.8761,0.8808,0.7946,0.6745,0.3897,0.3912,2026-02-18 20:00:15
12,9,0.874,0.9594,0.7033,9,9,1316.96,12,12,0.8784,0.8822,0.8017,0.6969,0.3623,0.3642,2026-02-18 20:22:12
13,9,0.8753,0.9601,0.7056,9,9,1320.69,13,13,0.8784,0.8822,0.8089,0.7203,0.3477,0.3506,2026-02-18 20:44:13
14,9,0.8744,0.9621,0.6989,9,9,1326.01,14,14,0.8807,0.885,0.8107,0.7252,0.3319,0.3359,2026-02-18 21:06:19
15,9,0.8695,0.9635,0.6815,9,9,1325.74,15,15,0.8796,0.8835,0.812,0.7297,0.3317,0.3361,2026-02-18 21:28:24
16,9,0.8717,0.9653,0.6844,9,9,1323.09,16,16,0.8911,0.8962,0.8127,0.7307,0.3238,0.3281,2026-02-18 21:50:27
17,9,0.8781,0.9659,0.7024,9,9,1325.11,17,17,0.8899,0.8952,0.8143,0.7356,0.3137,0.3178,2026-02-18 22:12:33
18,9,0.8725,0.9675,0.6826,9,9,1327.88,18,18,0.8922,0.8976,0.8145,0.7346,0.3072,0.3121,2026-02-18 22:34:40
19,9,0.8814,0.9677,0.7089,9,9,1319.04,19,19,0.8933,0.8988,0.8152,0.7344,0.3233,0.3273,2026-02-18 22:56:40
20,9,0.8774,0.9686,0.695,9,9,1319.19,20,20,0.8911,0.8964,0.816,0.7387,0.3183,0.3228,2026-02-18 23:18:39
21,9,0.8762,0.9696,0.6896,9,9,1326.31,21,21,0.8933,0.8986,0.817,0.741,0.3204,0.3247,2026-02-18 23:40:45
22,9,0.8856,0.9703,0.7163,9,9,1324.66,22,22,0.8933,0.8988,0.8164,0.7399,0.3254,0.3305,2026-02-19 00:02:50
23,9,0.8734,0.971,0.6781,9,9,1330.49,23,23,0.8933,0.8986,0.8167,0.741,0.3199,0.3247,2026-02-19 00:25:00
24,9,0.8757,0.9721,0.6829,9,9,1323.92,24,24,0.8899,0.8957,0.8183,0.7441,0.3146,0.3197,2026-02-19 00:47:04
25,9,0.8761,0.9723,0.6839,9,9,1325.2,25,25,0.8911,0.8969,0.8177,0.7419,0.3176,0.3222,2026-02-19 01:09:09
