round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.9147,0.9147,0.0,3,3,982.73,1,1,0.0,0.0,0.386,0.5452,0.0,0.0,2026-02-21 21:25:42
2,3,0.9244,0.9244,0.0,3,3,973.84,2,2,0.0,0.0,0.648,0.117,0.0,0.0,2026-02-21 21:41:56
3,3,0.9329,0.9329,0.0,3,3,967.75,3,3,0.0,0.0,0.6489,0.1152,0.0,0.0,2026-02-21 21:58:03
4,3,0.9415,0.9415,0.0,3,3,974.44,4,4,0.0,0.0,0.7185,0.4333,0.0,0.0,2026-02-21 22:14:18
5,3,0.9499,0.9499,0.0,3,3,965.64,5,5,0.0,0.0,0.74,0.5055,0.0,0.0,2026-02-21 22:30:23
6,3,0.9557,0.9557,0.0,3,3,967.84,6,6,0.0,0.0,0.7872,0.6582,0.0,0.0,2026-02-21 22:46:31
7,3,0.9624,0.9624,0.0,3,3,960.44,7,7,0.0,0.0,0.7805,0.6434,0.0,0.0,2026-02-21 23:02:32
8,3,0.9674,0.9674,0.0,3,3,962.93,8,8,0.0,0.0,0.7951,0.6852,0.0,0.0,2026-02-21 23:18:35
9,3,0.9714,0.9714,0.0,3,3,985.85,9,9,0.0,0.0,0.7668,0.595,0.0,0.0,2026-02-21 23:35:00
10,3,0.975,0.975,0.0,3,3,987.05,10,10,0.0,0.0,0.791,0.6671,0.0,0.0,2026-02-21 23:51:28
11,3,0.978,0.978,0.0,3,3,963.96,11,11,0.0,0.0,0.7835,0.6449,0.0,0.0,2026-02-22 00:07:31
12,3,0.981,0.981,0.0,3,3,961.65,12,12,0.0,0.0,0.7858,0.6483,0.0,0.0,2026-02-22 00:23:33
13,3,0.9828,0.9828,0.0,3,3,950.61,13,13,0.0,0.0,0.7989,0.6841,0.0,0.0,2026-02-22 00:39:24
14,3,0.9845,0.9845,0.0,3,3,946.68,14,14,0.0,0.0,0.7658,0.5852,0.0,0.0,2026-02-22 00:55:10
15,3,0.9862,0.9862,0.0,3,3,937.36,15,15,0.0,0.0,0.7843,0.64,0.0,0.0,2026-02-22 01:10:48
16,3,0.9874,0.9874,0.0,3,3,934.25,16,16,0.0,0.0,0.7957,0.6735,0.0,0.0,2026-02-22 01:26:22
17,3,0.9889,0.9889,0.0,3,3,942.01,17,17,0.0,0.0,0.7766,0.6172,0.0,0.0,2026-02-22 01:42:04
18,3,0.9895,0.9895,0.0,3,3,951.7,18,18,0.0,0.0,0.7825,0.6348,0.0,0.0,2026-02-22 01:57:56
19,3,0.9898,0.9898,0.0,3,3,937.19,19,19,0.0,0.0,0.7811,0.6306,0.0,0.0,2026-02-22 02:13:33
20,3,0.9912,0.9912,0.0,3,3,933.34,20,20,0.0,0.0,0.7947,0.675,0.0,0.0,2026-02-22 02:29:06
21,3,0.9915,0.9915,0.0,3,3,933.95,21,21,0.0,0.0,0.7831,0.6374,0.0,0.0,2026-02-22 02:44:40
22,3,0.9916,0.9916,0.0,3,3,940.12,22,22,0.0,0.0,0.7821,0.6347,0.0,0.0,2026-02-22 03:00:20
23,3,0.9927,0.9927,0.0,3,3,934.11,23,23,0.0,0.0,0.7918,0.6637,0.0,0.0,2026-02-22 03:15:54
24,3,0.9927,0.9927,0.0,3,3,942.36,24,24,0.0,0.0,0.7885,0.6519,0.0,0.0,2026-02-22 03:31:37
25,3,0.9929,0.9929,0.0,3,3,943.09,25,25,0.0,0.0,0.7893,0.6553,0.0,0.0,2026-02-22 03:47:20
