round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.8532,0.8532,0.0,3,3,642.92,1,1,0.5573,0.5338,0.0,0.0,0.0,0.0,2026-02-22 22:48:44
2,3,0.9298,0.9298,0.0,3,3,623.84,2,2,0.9037,0.9089,0.0,0.0,0.0,0.0,2026-02-22 22:59:08
3,3,0.9626,0.9626,0.0,3,3,603.27,3,3,0.9174,0.9222,0.0,0.0,0.0,0.0,2026-02-22 23:09:11
4,3,0.9794,0.9794,0.0,3,3,597.21,4,4,0.922,0.9272,0.0,0.0,0.0,0.0,2026-02-22 23:19:09
5,3,0.9872,0.9872,0.0,3,3,609.61,5,5,0.922,0.9275,0.0,0.0,0.0,0.0,2026-02-22 23:29:18
6,3,0.9921,0.9921,0.0,3,3,609.36,6,6,0.9255,0.9293,0.0,0.0,0.0,0.0,2026-02-22 23:39:28
7,3,0.9939,0.9939,0.0,3,3,625.51,7,7,0.9278,0.9325,0.0,0.0,0.0,0.0,2026-02-22 23:49:53
8,3,0.9954,0.9954,0.0,3,3,637.48,8,8,0.9255,0.9303,0.0,0.0,0.0,0.0,2026-02-23 00:00:31
9,3,0.9963,0.9963,0.0,3,3,614.6,9,9,0.9209,0.9259,0.0,0.0,0.0,0.0,2026-02-23 00:10:45
10,3,0.9975,0.9975,0.0,3,3,607.49,10,10,0.9174,0.9229,0.0,0.0,0.0,0.0,2026-02-23 00:20:53
11,3,0.998,0.998,0.0,3,3,621.2,11,11,0.922,0.9274,0.0,0.0,0.0,0.0,2026-02-23 00:31:14
12,3,0.9986,0.9986,0.0,3,3,600.77,12,12,0.9186,0.9245,0.0,0.0,0.0,0.0,2026-02-23 00:41:15
13,3,0.9988,0.9988,0.0,3,3,621.06,13,13,0.9209,0.9264,0.0,0.0,0.0,0.0,2026-02-23 00:51:36
14,3,0.9993,0.9993,0.0,3,3,619.87,14,14,0.9197,0.9255,0.0,0.0,0.0,0.0,2026-02-23 01:01:56
15,3,0.9992,0.9992,0.0,3,3,610.39,15,15,0.9243,0.9293,0.0,0.0,0.0,0.0,2026-02-23 01:12:06
16,3,0.9992,0.9992,0.0,3,3,615.56,16,16,0.93,0.9348,0.0,0.0,0.0,0.0,2026-02-23 01:22:22
17,3,0.9994,0.9994,0.0,3,3,620.32,17,17,0.922,0.9274,0.0,0.0,0.0,0.0,2026-02-23 01:32:42
18,3,0.9997,0.9997,0.0,3,3,612.02,18,18,0.922,0.9275,0.0,0.0,0.0,0.0,2026-02-23 01:42:54
19,3,0.9997,0.9997,0.0,3,3,630.36,19,19,0.9232,0.9286,0.0,0.0,0.0,0.0,2026-02-23 01:53:24
20,3,0.9998,0.9998,0.0,3,3,616.27,20,20,0.9232,0.9283,0.0,0.0,0.0,0.0,2026-02-23 02:03:41
21,3,0.9998,0.9998,0.0,3,3,613.44,21,21,0.9243,0.9299,0.0,0.0,0.0,0.0,2026-02-23 02:13:54
22,3,0.9998,0.9998,0.0,3,3,598.72,22,22,0.9243,0.9296,0.0,0.0,0.0,0.0,2026-02-23 02:23:53
23,3,0.9998,0.9998,0.0,3,3,619.57,23,23,0.9232,0.9285,0.0,0.0,0.0,0.0,2026-02-23 02:34:12
24,3,0.9998,0.9998,0.0,3,3,628.76,24,24,0.9255,0.9305,0.0,0.0,0.0,0.0,2026-02-23 02:44:41
25,3,0.9999,0.9999,0.0,3,3,639.44,25,25,0.9266,0.9318,0.0,0.0,0.0,0.0,2026-02-23 02:55:20
