epoch,training_time,train_loss,train_accuracy,sst2_val_accuracy,sst2_val_f1,qqp_val_accuracy,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,total_val_loss,gpu_usage,cpu_usage,memory_usage,timestamp
1,242.193255,0.3909000790766502,0.8520642201834863,0.8520642201834863,0.8529076396807298,0.0,0.0,0.0,0.0,0.4336228545652617,2.448740043358585,34.2,43.1,2026-02-25 23:51:28
2,165.470505,0.2870629051219443,0.8428899082568807,0.8428899082568807,0.8502732240437159,0.0,0.0,0.0,0.0,0.5393982807328122,2.448740043358585,23.9,38.6,2026-02-25 23:54:13
3,130.342006,0.2382545396039362,0.8623853211009175,0.8623853211009175,0.8564593301435407,0.0,0.0,0.0,0.0,0.5655225434665218,2.448740043358585,18.6,39.1,2026-02-25 23:56:23
4,130.290259,0.203754470194844,0.8635321100917431,0.8635321100917431,0.8624277456647399,0.0,0.0,0.0,0.0,0.6409445561430153,2.448740043358585,18.6,39.0,2026-02-25 23:58:34
5,130.273077,0.1789057567192406,0.8612385321100917,0.8612385321100917,0.8604382929642446,0.0,0.0,0.0,0.0,0.6916229830426804,2.448740043358585,18.6,39.1,2026-02-26 00:00:44
6,130.253668,0.1575494336059583,0.8589449541284404,0.8589449541284404,0.8537455410225921,0.0,0.0,0.0,0.0,0.7318353703423882,2.448740043358585,18.7,39.0,2026-02-26 00:02:54
7,130.218511,0.1405257761549064,0.8623853211009175,0.8623853211009175,0.8654708520179372,0.0,0.0,0.0,0.0,0.7312617499716131,2.448740043358585,18.5,39.1,2026-02-26 00:05:04
8,131.425194,0.1270394589405409,0.8704128440366973,0.8704128440366973,0.8773072747014115,0.0,0.0,0.0,0.0,0.7857836446367843,2.448740043358585,18.5,39.0,2026-02-26 00:07:16
9,130.370021,0.1157962525943647,0.8600917431192661,0.8600917431192661,0.8629213483146068,0.0,0.0,0.0,0.0,0.8243303926758534,2.448740043358585,18.5,38.9,2026-02-26 00:09:26
10,130.390778,0.104159442971855,0.8727064220183486,0.8727064220183486,0.8737201365187713,0.0,0.0,0.0,0.0,0.7862314289878176,2.448740043358585,18.6,39.0,2026-02-26 00:11:37
11,130.437253,0.0949631044314349,0.8623853211009175,0.8623853211009175,0.8639455782312925,0.0,0.0,0.0,0.0,0.8427823456003595,2.448740043358585,18.6,39.2,2026-02-26 00:13:47
12,130.508277,0.0863307691644295,0.8623853211009175,0.8623853211009175,0.868421052631579,0.0,0.0,0.0,0.0,0.8989233508885122,2.448740043358585,18.6,39.0,2026-02-26 00:15:58
13,130.522387,0.0781902556264422,0.8727064220183486,0.8727064220183486,0.876803551609323,0.0,0.0,0.0,0.0,0.8658671491896737,2.448740043358585,18.7,39.1,2026-02-26 00:18:08
14,130.267255,0.0723546240934342,0.8623853211009175,0.8623853211009175,0.8645598194130926,0.0,0.0,0.0,0.0,0.9315293899965188,2.448740043358585,18.5,39.1,2026-02-26 00:20:18
15,130.463763,0.0654465221205089,0.8623853211009175,0.8623853211009175,0.8657718120805369,0.0,0.0,0.0,0.0,0.943542827177926,2.448740043358585,18.7,39.1,2026-02-26 00:22:29
16,130.868572,0.0581345429912735,0.8681192660550459,0.8681192660550459,0.868270332187858,0.0,0.0,0.0,0.0,1.0225383548355125,2.448740043358585,18.5,39.3,2026-02-26 00:24:40
17,130.99669,0.0546752915143206,0.8646788990825688,0.8646788990825688,0.8674157303370786,0.0,0.0,0.0,0.0,1.0701413666401751,2.448740043358585,18.5,39.4,2026-02-26 00:26:51
18,130.44114,0.051507865273064,0.856651376146789,0.856651376146789,0.8621830209481808,0.0,0.0,0.0,0.0,1.0737068646147805,2.448740043358585,18.5,39.2,2026-02-26 00:29:01
19,130.416695,0.0459280839442359,0.8543577981651376,0.8543577981651376,0.8581005586592179,0.0,0.0,0.0,0.0,1.100277865511431,2.448740043358585,18.6,39.4,2026-02-26 00:31:12
20,130.313954,0.0406666623489237,0.8600917431192661,0.8600917431192661,0.8644444444444445,0.0,0.0,0.0,0.0,1.15781606000294,2.448740043358585,18.6,39.3,2026-02-26 00:33:22
21,130.444423,0.044649935401433,0.8669724770642202,0.8669724770642202,0.8690744920993227,0.0,0.0,0.0,0.0,1.115824988514184,2.448740043358585,18.5,39.5,2026-02-26 00:35:32
22,130.450895,0.0379228347594394,0.8646788990825688,0.8646788990825688,0.8662131519274376,0.0,0.0,0.0,0.0,1.1081134463517102,2.448740043358585,18.7,39.4,2026-02-26 00:37:43
23,130.356632,0.0348034491022931,0.8669724770642202,0.8669724770642202,0.8708240534521158,0.0,0.0,0.0,0.0,1.1382847462863697,2.448740043358585,18.6,39.4,2026-02-26 00:39:53
24,129.770914,0.0311564869970644,0.8658256880733946,0.8658256880733946,0.8671963677639046,0.0,0.0,0.0,0.0,1.150805288060508,2.448740043358585,18.7,39.6,2026-02-26 00:42:03
25,70.775667,0.0316184618790616,0.8658256880733946,0.8658256880733946,0.8683914510686164,0.0,0.0,0.0,0.0,1.1529903462576363,2.448740043358585,11.5,34.4,2026-02-26 00:43:14
