epoch,training_time,train_loss,train_accuracy,sst2_val_accuracy,sst2_val_f1,qqp_val_accuracy,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,total_val_loss,gpu_usage,cpu_usage,memory_usage,timestamp
1,100.495057,0.6431947112213293,0.6911764705882353,0.0,0.0,0.6911764705882353,0.8157894736842105,0.0,0.0,0.6001793660369574,1.5066975644757463,2.6,41.0,2026-02-25 11:33:22
2,98.407223,0.5560345317283747,0.7450980392156863,0.0,0.0,0.7450980392156863,0.8109090909090909,0.0,0.0,0.5264460350952896,1.5066975644757463,2.8,41.0,2026-02-25 11:35:00
3,96.396097,0.4507730290585873,0.7598039215686274,0.0,0.0,0.7598039215686274,0.839344262295082,0.0,0.0,0.5261522551961973,1.5066975644757463,4.0,41.0,2026-02-25 11:36:37
4,98.90918,0.3366914654479307,0.7769607843137255,0.0,0.0,0.7769607843137255,0.8439108061749572,0.0,0.0,0.5853265352620214,1.5066975644757463,3.3,41.0,2026-02-25 11:38:15
5,100.094618,0.270432481529041,0.7794117647058824,0.0,0.0,0.7794117647058824,0.8514851485148515,0.0,0.0,0.7521042080194342,1.5066975644757463,4.0,41.3,2026-02-25 11:39:56
6,98.562566,0.2094953786916543,0.7671568627450981,0.0,0.0,0.7671568627450981,0.8419301164725458,0.0,0.0,1.1020332834884232,1.5066975644757463,5.5,42.4,2026-02-25 11:41:34
7,93.269873,0.1312992961540582,0.7745098039215687,0.0,0.0,0.7745098039215687,0.8471760797342193,0.0,0.0,1.130879219146628,1.5066975644757463,5.9,42.4,2026-02-25 11:43:07
8,92.452883,0.1133905700854307,0.7696078431372549,0.0,0.0,0.7696078431372549,0.8384879725085911,0.0,0.0,1.2186595251162846,1.5066975644757463,5.9,42.4,2026-02-25 11:44:40
9,100.117358,0.1040047179858863,0.7671568627450981,0.0,0.0,0.7671568627450981,0.8336252189141856,0.0,0.0,1.3901779249792134,1.5066975644757463,5.0,42.4,2026-02-25 11:46:20
10,94.05611,0.0721347753572569,0.7671568627450981,0.0,0.0,0.7671568627450981,0.8434925864909391,0.0,0.0,1.5917171540478354,1.5066975644757463,7.6,42.5,2026-02-25 11:47:54
11,92.652493,0.0505669542454124,0.7818627450980392,0.0,0.0,0.7818627450980392,0.8478632478632478,0.0,0.0,1.5400714689897663,1.5066975644757463,6.0,42.4,2026-02-25 11:49:27
12,95.700122,0.0554041353950666,0.7818627450980392,0.0,0.0,0.7818627450980392,0.856682769726248,0.0,0.0,1.624813336945783,1.5066975644757463,5.2,42.1,2026-02-25 11:51:02
13,95.026448,0.0415220345996425,0.7769607843137255,0.0,0.0,0.7769607843137255,0.8389380530973451,0.0,0.0,1.5767913039193908,1.5066975644757463,5.8,42.4,2026-02-25 11:52:37
14,94.177773,0.0406910986153861,0.7794117647058824,0.0,0.0,0.7794117647058824,0.8432055749128919,0.0,0.0,1.6576934568603938,1.5066975644757463,6.5,42.6,2026-02-25 11:54:12
15,95.546131,0.0292501181732073,0.7769607843137255,0.0,0.0,0.7769607843137255,0.8433734939759037,0.0,0.0,1.7533684107734635,1.5066975644757463,5.1,42.1,2026-02-25 11:55:47
16,95.000127,0.0360726246135904,0.7745098039215687,0.0,0.0,0.7745098039215687,0.8466666666666667,0.0,0.0,1.7537563058051768,1.5066975644757463,5.7,42.5,2026-02-25 11:57:22
17,93.143247,0.0257538187655414,0.7916666666666666,0.0,0.0,0.7916666666666666,0.859504132231405,0.0,0.0,1.7735511193544988,1.5066975644757463,5.6,42.4,2026-02-25 11:58:55
18,96.172488,0.0177067784489124,0.7769607843137255,0.0,0.0,0.7769607843137255,0.847571189279732,0.0,0.0,1.8560017139261973,1.5066975644757463,5.4,42.1,2026-02-25 12:00:31
19,96.995554,0.0095806655220125,0.7794117647058824,0.0,0.0,0.7794117647058824,0.8494983277591973,0.0,0.0,1.9595454287872616,1.5066975644757463,5.3,42.4,2026-02-25 12:02:08
20,91.495811,0.0156753229144067,0.7990196078431373,0.0,0.0,0.7990196078431373,0.8655737704918033,0.0,0.0,1.8495008941337048,1.5066975644757463,5.7,42.4,2026-02-25 12:03:40
21,91.210634,0.020869062709659,0.7794117647058824,0.0,0.0,0.7794117647058824,0.847972972972973,0.0,0.0,1.9824790714384803,1.5066975644757463,5.9,42.4,2026-02-25 12:05:11
22,98.903978,0.0105192624707227,0.7818627450980392,0.0,0.0,0.7818627450980392,0.8494077834179357,0.0,0.0,1.9935612062207144,1.5066975644757463,5.3,42.4,2026-02-25 12:06:50
23,93.119881,0.0156212989822248,0.7916666666666666,0.0,0.0,0.7916666666666666,0.8599670510708401,0.0,0.0,1.9795558374517344,1.5066975644757463,5.8,42.4,2026-02-25 12:08:23
24,90.343215,0.0109419163648043,0.7745098039215687,0.0,0.0,0.7745098039215687,0.8451178451178452,0.0,0.0,2.049750246333561,1.5066975644757463,6.1,42.4,2026-02-25 12:09:54
25,95.879273,0.004736694215248,0.7818627450980392,0.0,0.0,0.7818627450980392,0.8514190317195326,0.0,0.0,2.024510240998436,1.5066975644757463,5.1,42.3,2026-02-25 12:11:29
