epoch,training_time,train_loss,train_accuracy,sst2_val_accuracy,sst2_val_f1,qqp_val_accuracy,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,total_val_loss,gpu_usage,cpu_usage,memory_usage,timestamp
1,328.529992,0.31210078149496,0.8727064220183486,0.8727064220183486,0.8695652173913043,0.0,0.0,0.0,0.0,0.4052796210162341,1.4949932063834552,5.3,41.9,2026-02-25 12:00:46
2,322.08451,0.2063120060748136,0.8876146788990825,0.8876146788990825,0.8937093275488069,0.0,0.0,0.0,0.0,0.4562610806865241,1.4949932063834552,5.6,41.7,2026-02-25 12:06:08
3,324.646839,0.1631535125621442,0.9013761467889908,0.9013761467889908,0.9040178571428572,0.0,0.0,0.0,0.0,0.4672084525451833,1.4949932063834552,5.6,41.7,2026-02-25 12:11:33
4,313.120545,0.1296216531733907,0.9013761467889908,0.9013761467889908,0.9050772626931568,0.0,0.0,0.0,0.0,0.4661684066912697,1.4949932063834552,3.8,41.1,2026-02-25 12:16:46
5,297.556546,0.1088882731798935,0.8910550458715596,0.8910550458715596,0.8968512486427795,0.0,0.0,0.0,0.0,0.6080324982865415,1.4949932063834552,3.5,41.0,2026-02-25 12:21:43
6,362.71268,0.0933785470331641,0.893348623853211,0.893348623853211,0.8944381384790011,0.0,0.0,0.0,0.0,0.6021725301168338,1.4949932063834552,3.5,41.0,2026-02-25 12:27:46
7,327.439436,0.075855235129248,0.8841743119266054,0.8841743119266054,0.8915145005370569,0.0,0.0,0.0,0.0,0.6798985834691915,1.4949932063834552,4.9,41.2,2026-02-25 12:33:13
8,378.101619,0.0680448463525623,0.8841743119266054,0.8841743119266054,0.8866442199775533,0.0,0.0,0.0,0.0,0.6148218577194328,1.4949932063834552,4.0,41.1,2026-02-25 12:39:31
9,372.909931,0.0589620578628431,0.8818807339449541,0.8818807339449541,0.8879216539717084,0.0,0.0,0.0,0.0,0.707535857069728,1.4949932063834552,4.4,41.2,2026-02-25 12:45:44
10,306.494771,0.0523709369663537,0.8876146788990825,0.8876146788990825,0.8903803131991052,0.0,0.0,0.0,0.0,0.7381989630158144,1.4949932063834552,4.5,41.2,2026-02-25 12:50:51
11,301.693932,0.0460815226931468,0.8853211009174312,0.8853211009174312,0.8881431767337807,0.0,0.0,0.0,0.0,0.7726788322562335,1.4949932063834552,3.5,41.0,2026-02-25 12:55:53
12,366.364149,0.0379713415558124,0.8830275229357798,0.8830275229357798,0.8907922912205567,0.0,0.0,0.0,0.0,0.8373679407706247,1.4949932063834552,3.7,41.0,2026-02-25 13:01:59
13,320.150498,0.0337620438100231,0.8807339449541285,0.8807339449541285,0.8839285714285714,0.0,0.0,0.0,0.0,0.7774278521339194,1.4949932063834552,3.5,41.0,2026-02-25 13:07:19
14,318.003706,0.028434339671499,0.8830275229357798,0.8830275229357798,0.8843537414965986,0.0,0.0,0.0,0.0,0.7833735200173486,1.4949932063834552,3.6,41.0,2026-02-25 13:12:37
15,313.910086,0.025752981043086,0.8807339449541285,0.8807339449541285,0.8872017353579176,0.0,0.0,0.0,0.0,0.8708869060796,1.4949932063834552,3.6,41.0,2026-02-25 13:17:51
16,358.145358,0.0217676959976902,0.8841743119266054,0.8841743119266054,0.8853575482406356,0.0,0.0,0.0,0.0,1.0749235540483155,1.4949932063834552,3.4,41.0,2026-02-25 13:23:49
17,317.118732,0.0206730348837902,0.8795871559633027,0.8795871559633027,0.8824188129899216,0.0,0.0,0.0,0.0,0.9693889740853192,1.4949932063834552,3.6,41.0,2026-02-25 13:29:06
18,299.122418,0.0152529098512645,0.8772935779816514,0.8772935779816514,0.8843243243243243,0.0,0.0,0.0,0.0,1.074969186330989,1.4949932063834552,3.7,41.0,2026-02-25 13:34:05
19,315.298816,0.0152159568611913,0.8772935779816514,0.8772935779816514,0.8843243243243243,0.0,0.0,0.0,0.0,1.1003075410158152,1.4949932063834552,4.2,41.0,2026-02-25 13:39:21
20,363.367569,0.011747961455164,0.8876146788990825,0.8876146788990825,0.8934782608695652,0.0,0.0,0.0,0.0,1.0478083661848123,1.4949932063834552,3.4,41.0,2026-02-25 13:45:24
21,314.161812,0.0105878567060901,0.875,0.875,0.8839190628328009,0.0,0.0,0.0,0.0,1.0803837206428184,1.4949932063834552,4.0,41.3,2026-02-25 13:50:38
22,356.06103,0.0102046520733493,0.8727064220183486,0.8727064220183486,0.876803551609323,0.0,0.0,0.0,0.0,1.1704778403359235,1.4949932063834552,4.7,41.1,2026-02-25 13:56:34
23,313.289579,0.0094490871140975,0.8784403669724771,0.8784403669724771,0.8847826086956522,0.0,0.0,0.0,0.0,1.1569535218574905,1.4949932063834552,3.7,41.1,2026-02-25 14:01:48
24,382.98285,0.0072017467723677,0.8784403669724771,0.8784403669724771,0.8822222222222222,0.0,0.0,0.0,0.0,1.236246476497706,1.4949932063834552,4.4,41.2,2026-02-25 14:08:11
25,360.836969,0.0066081623169114,0.8807339449541285,0.8807339449541285,0.88470066518847,0.0,0.0,0.0,0.0,1.238338822616254,1.4949932063834552,4.7,41.1,2026-02-25 14:14:11
