round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.4314,0.644,0.006,3,3,707.2,1,1,0.5424,0.6805,0.4233,0.4855,-0.0154,-0.0097,2026-02-10 23:20:06
2,3,0.4706,0.7059,0.0,3,3,717.41,2,2,0.6927,0.7702,0.7118,0.5283,-0.0388,-0.0331,2026-02-10 23:32:03
3,3,0.4804,0.7206,0.0,3,3,781.74,3,3,0.7294,0.7843,0.7173,0.567,-0.0527,-0.0474,2026-02-10 23:45:05
4,3,0.4842,0.7263,0.0,3,3,745.47,4,4,0.75,0.7951,0.7201,0.5771,-0.0564,-0.0512,2026-02-10 23:57:30
5,3,0.4857,0.7286,0.0,3,3,773.74,5,5,0.758,0.7992,0.7211,0.5885,-0.0506,-0.0471,2026-02-11 00:10:24
6,3,0.487,0.7305,0.0,3,3,777.71,6,6,0.7706,0.8058,0.7218,0.5911,-0.0418,-0.04,2026-02-11 00:23:22
7,3,0.4919,0.7321,0.0117,3,3,735.36,7,7,0.7729,0.8066,0.723,0.5993,-0.0315,-0.0304,2026-02-11 00:35:37
8,3,0.4909,0.7335,0.0056,3,3,733.49,8,8,0.7718,0.8062,0.7242,0.5964,-0.0211,-0.0214,2026-02-11 00:47:51
9,3,0.4962,0.7333,0.0218,3,3,719.17,9,9,0.7741,0.8074,0.7241,0.6019,-0.0109,-0.0128,2026-02-11 00:59:50
10,3,0.5027,0.7344,0.0393,3,3,775.7,10,10,0.7752,0.8075,0.7246,0.5979,-0.0013,-0.0038,2026-02-11 01:12:46
11,3,0.5007,0.7341,0.0338,3,3,729.29,11,11,0.7741,0.8071,0.725,0.6022,0.0078,0.0047,2026-02-11 01:24:55
12,3,0.5073,0.7356,0.0507,3,3,741.54,12,12,0.7752,0.8078,0.7251,0.6016,0.0157,0.012,2026-02-11 01:37:17
13,3,0.5077,0.7356,0.0518,3,3,741.59,13,13,0.7752,0.8075,0.7255,0.5995,0.0231,0.0188,2026-02-11 01:49:38
14,3,0.509,0.7354,0.0564,3,3,762.14,14,14,0.7775,0.8098,0.7251,0.6001,0.0297,0.0251,2026-02-11 02:02:20
15,3,0.5073,0.7371,0.0476,3,3,781.72,15,15,0.7775,0.8094,0.7254,0.6013,0.0359,0.0307,2026-02-11 02:15:22
16,3,0.5103,0.7369,0.0571,3,3,787.65,16,16,0.7752,0.8071,0.7259,0.6029,0.041,0.0354,2026-02-11 02:28:30
17,3,0.5172,0.7358,0.08,3,3,721.51,17,17,0.7775,0.8091,0.7262,0.6048,0.0461,0.0399,2026-02-11 02:40:31
18,3,0.511,0.7358,0.0615,3,3,731.63,18,18,0.7787,0.8102,0.7261,0.6025,0.05,0.0435,2026-02-11 02:52:43
19,3,0.5156,0.737,0.0729,3,3,785.73,19,19,0.7764,0.8079,0.7263,0.6047,0.054,0.0473,2026-02-11 03:05:49
20,3,0.5147,0.7367,0.0709,3,3,739.51,20,20,0.7775,0.8091,0.7265,0.6038,0.0573,0.0503,2026-02-11 03:18:08
21,3,0.516,0.7367,0.0744,3,3,820.18,21,21,0.7787,0.8102,0.7266,0.605,0.0605,0.0531,2026-02-11 03:31:48
22,3,0.5181,0.7373,0.0796,3,3,733.44,22,22,0.7775,0.8094,0.7271,0.6045,0.0634,0.0559,2026-02-11 03:44:02
23,3,0.5189,0.7372,0.0825,3,3,741.6,23,23,0.7787,0.8102,0.727,0.6041,0.066,0.0582,2026-02-11 03:56:23
24,3,0.5179,0.7373,0.079,3,3,745.73,24,24,0.7787,0.8099,0.7266,0.6046,0.0683,0.0602,2026-02-11 04:08:49
25,3,0.5282,0.7368,0.1109,3,3,777.83,25,25,0.7787,0.8099,0.7268,0.606,0.0703,0.0621,2026-02-11 04:21:47
