round,responses_received,avg_accuracy,classification_accuracy,regression_accuracy,total_clients,active_clients,training_time,synchronization_events,global_model_version,global_sst2_val_accuracy,global_sst2_val_f1,global_qqp_val_accuracy,global_qqp_val_f1,global_stsb_val_pearson,global_stsb_val_spearman,timestamp
1,3,0.8622,0.8622,0.0,3,3,353.34,1,1,0.4633,0.4076,0.0,0.0,0.0,0.0,2026-02-20 09:17:11
2,3,0.9279,0.9279,0.0,3,3,349.3,2,2,0.9083,0.9142,0.0,0.0,0.0,0.0,2026-02-20 09:23:00
3,3,0.9541,0.9541,0.0,3,3,336.71,3,3,0.9209,0.9251,0.0,0.0,0.0,0.0,2026-02-20 09:28:37
4,3,0.9704,0.9704,0.0,3,3,338.13,4,4,0.9174,0.9227,0.0,0.0,0.0,0.0,2026-02-20 09:34:15
5,3,0.9789,0.9789,0.0,3,3,336.45,5,5,0.9151,0.9197,0.0,0.0,0.0,0.0,2026-02-20 09:39:51
6,3,0.9849,0.9849,0.0,3,3,336.14,6,6,0.9209,0.9259,0.0,0.0,0.0,0.0,2026-02-20 09:45:28
7,3,0.989,0.989,0.0,3,3,334.66,7,7,0.9163,0.9211,0.0,0.0,0.0,0.0,2026-02-20 09:51:02
8,3,0.991,0.991,0.0,3,3,337.21,8,8,0.9174,0.9229,0.0,0.0,0.0,0.0,2026-02-20 09:56:39
9,3,0.9928,0.9928,0.0,3,3,337.89,9,9,0.9243,0.9292,0.0,0.0,0.0,0.0,2026-02-20 10:02:17
10,3,0.9946,0.9946,0.0,3,3,334.14,10,10,0.9209,0.926,0.0,0.0,0.0,0.0,2026-02-20 10:07:51
11,3,0.9951,0.9951,0.0,3,3,338.74,11,11,0.9197,0.9252,0.0,0.0,0.0,0.0,2026-02-20 10:13:30
12,3,0.9957,0.9957,0.0,3,3,337.28,12,12,0.9209,0.9259,0.0,0.0,0.0,0.0,2026-02-20 10:19:08
13,3,0.9969,0.9969,0.0,3,3,337.34,13,13,0.9232,0.9282,0.0,0.0,0.0,0.0,2026-02-20 10:24:45
14,3,0.9973,0.9973,0.0,3,3,337.02,14,14,0.9209,0.9262,0.0,0.0,0.0,0.0,2026-02-20 10:30:22
15,3,0.9974,0.9974,0.0,3,3,337.97,15,15,0.9243,0.9289,0.0,0.0,0.0,0.0,2026-02-20 10:36:00
16,3,0.998,0.998,0.0,3,3,333.89,16,16,0.9243,0.929,0.0,0.0,0.0,0.0,2026-02-20 10:41:34
17,3,0.9978,0.9978,0.0,3,3,339.31,17,17,0.9232,0.9282,0.0,0.0,0.0,0.0,2026-02-20 10:47:13
18,3,0.9985,0.9985,0.0,3,3,333.49,18,18,0.9243,0.9293,0.0,0.0,0.0,0.0,2026-02-20 10:52:47
19,3,0.9985,0.9985,0.0,3,3,337.89,19,19,0.9209,0.9262,0.0,0.0,0.0,0.0,2026-02-20 10:58:24
20,3,0.9989,0.9989,0.0,3,3,338.45,20,20,0.9232,0.9282,0.0,0.0,0.0,0.0,2026-02-20 11:04:03
21,3,0.9989,0.9989,0.0,3,3,335.83,21,21,0.9232,0.9282,0.0,0.0,0.0,0.0,2026-02-20 11:09:39
22,3,0.9989,0.9989,0.0,3,3,336.27,22,22,0.922,0.9272,0.0,0.0,0.0,0.0,2026-02-20 11:15:15
23,3,0.9991,0.9991,0.0,3,3,334.99,23,23,0.922,0.9274,0.0,0.0,0.0,0.0,2026-02-20 11:20:50
24,3,0.9991,0.9991,0.0,3,3,337.47,24,24,0.9209,0.9259,0.0,0.0,0.0,0.0,2026-02-20 11:26:27
25,3,0.9991,0.9991,0.0,3,3,337.29,25,25,0.922,0.927,0.0,0.0,0.0,0.0,2026-02-20 11:32:05
