model,experiment,type,is_mtl,is_lora,peak_gpu_mem_gb,training_time,sst2_acc,qqp_acc,stsb_pearson,stsb_spearman,rounds,epochs
tiny_bert,tinybert_fl_mtl_iid_3clients,federated,True,False,0.08807936,272.16,0.9094,0.8122,0.4903,0.463,50,0
tiny_bert,tinybert_centralized_single_stsb,centralized,False,False,0.3427261867201335,94.463211,0.0,0.0,0.7269762520492515,0.7230012598740546,0,25
tiny_bert,tinybert_centralized_single_sst2,centralized,False,False,0.3427341380503592,190.329315,0.8084862385321101,0.0,0.0,0.0,0,25
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,federated,False,False,0.08807936,249.67,0.0,0.6954,0.0,0.0,25,0
tiny_bert,tinybert_fl_single_stsb_non-iid_3clients,federated,False,False,0.088077824,47.84,0.0,0.0,0.2153,0.1681,25,0
tiny_bert,tinybert_centralized_mtl,centralized,True,False,0.3440421318724937,368.352548,0.8176605504587156,0.6985294117647058,0.6105968922318368,0.6080843016672248,0,25
tiny_bert,tinybert_fl_mtl_non-iid_9clients,federated,True,False,0.08807936,267.34,0.781,0.6895,-0.0421,-0.0419,25,0
tiny_bert,tinybert_centralized_single_qqp,centralized,False,False,0.3427341380503592,92.55746,0.0,0.6813725490196079,0.0,0.0,0,25
tiny_bert,tinybert_fl_single_sst2_non-iid_3clients,federated,False,False,0.08807936,100.61,0.906,0.0,0.0,0.0,25,0
tiny_bert,tinybert_fl_mtl_lora_3clients,federated,True,True,0.035646464,146.2,0.7511,0.6681,0.3639,0.3529,30,0
mini-lm,minilm_centralized_single_stsb,centralized,False,False,1.492933811854988,100.43389,0.0,0.0,0.8600779090222165,0.8574229948691972,0,25
mini-lm,minilm_fl_mtl_iid_3clients,federated,True,False,0.384335872,1116.14,0.9369,0.8966,0.8382,0.8197,25,0
mini-lm,minilm_centralized_single_sst2,centralized,False,False,1.4949932063834552,360.836969,0.8807339449541285,0.0,0.0,0.0,0,25
mini-lm,minilm_fl_mtl_non-iid_9clients,federated,True,False,0.388000256,827.32,0.8888,0.8629,0.6981,0.7039,25,0
